"","Size","Phylum","Class","Order","Family","Genus"
"Otu0001","1444806","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"Otu0002","973178","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu0003","831488","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylophilaceae_unclassified"
"Otu0004","595658","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella"
"Otu0005","488403","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"Otu0006","486211","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0007","401551","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0008","390945","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus"
"Otu0009","330408","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0010","307921","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"Otu0011","260367","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylophilus"
"Otu0012","219921","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0013","201261","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0014","198185","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu0015","192422","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0016","173905","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"Otu0017","166781","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"Otu0018","134920","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified"
"Otu0019","131522","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0020","85945","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0021","73734","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_X","Thermicanus"
"Otu0022","70725","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu0023","68738","Acidobacteria","Acidobacteria_Gp6","Acidobacteria_Gp6_order_incertae_sedis","Acidobacteria_Gp6_family_incertae_sedis","Gp6"
"Otu0024","63845","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"Otu0025","63590","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0026","60378","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Peptoniphilus"
"Otu0027","58218","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"Otu0028","52808","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dyella"
"Otu0029","50453","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Cloacibacterium"
"Otu0030","49566","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified","Actinomycetales_unclassified"
"Otu0031","48572","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
